date,true_I,pred_I,abs_error,squared_error,used_in_fitting
2020-01-28,315,74.65214889944811,240.3478511005519,57767.08952865307,True
<<<<<<< HEAD
2020-01-29,356,235.84853401802644,120.15146598197356,14436.37477761735,True
2020-01-30,378,497.0490643806214,119.04906438062142,14172.679729901343,True
2020-01-31,576,798.5421892889791,222.5421892889791,49525.0260135318,True
2020-02-01,894,1054.9881640500294,160.98816405002935,25917.188964199162,True
2020-02-02,1033,1210.7605296918193,177.76052969181933,31598.80591631618,True
2020-02-03,1242,1263.120139554892,21.12013955489192,446.0602948181103,True
2020-02-04,1967,1246.752290364102,720.247709635898,518756.76323575684,True
2020-02-05,1766,1202.5805151687143,563.4194848312857,317441.51588755136,True
2020-02-06,1501,1157.9540532274634,343.0459467725366,117680.521597066,True
2020-02-07,1985,1123.299792066703,861.700207933297,742527.2483522872,True
2020-02-08,1379,1098.3386545269573,280.66134547304273,78770.79084273864,True
2020-02-09,1921,1079.1620638638876,841.8379361361124,708691.1107179092,True
2020-02-10,1552,1062.144357943431,489.85564205656897,239958.55005465343,False
2020-02-11,1104,1040.8185997619337,63.18140023806632,3991.8893360427264,False
=======
2020-01-29,356,235.91572095203594,120.08427904796406,14420.2340744693,True
2020-01-30,378,497.3284765044236,119.32847650442358,14239.28530486677,True
2020-01-31,576,799.2707880875005,223.27078808750048,49849.844813213545,True
2020-02-01,894,1056.4470016743326,162.44700167433257,26389.028352980607,True
2020-02-02,1033,1213.2072318010833,180.20723180108325,32474.64639340935,True
2020-02-03,1242,1267.3976759641914,25.39767596419142,645.0419443820666,True
2020-02-04,1967,1254.237615516748,712.7623844832519,508030.21673425107,True
2020-02-05,1766,1215.2032665133042,550.7967334866958,303377.0416196142,True
2020-02-06,1501,1177.5845534357086,323.4154465642914,104597.55107638004,True
2020-02-07,1985,1151.1200600308202,833.8799399691798,695355.7542830028,True
2020-02-08,1379,1134.56647086674,244.43352913325998,59747.75016454026,True
2020-02-09,1921,1123.2806094278637,797.7193905721363,636356.2260947805,True
2020-02-10,1552,1113.5066153662597,438.49338463374033,192276.44836755336,False
2020-02-11,1104,1099.0059142309867,4.994085769013282,24.94089266826098,False
>>>>>>> d7813f2a0528e0217b49587291a92cca5ef64036
